microregion,mesoregion,macroregion
Mumbai,Maharashtra,India
Itanagar,Arunachal Pradesh,India
Amaravati,Andhra Pradesh,India
Assam,Dispur,India
Pune,Maharashtra,India
Patna,Bihar,India
Raipur,Chhattisgarh,India
Panaji,Goa,India
Gandhinagar,Gujarat,India
Chandigarh,Haryana,India
Shimla,Himachal Pradesh,India
Ranchi,Jharkhand,India
Bengaluru,Karnataka,India
Thiruvananthapuram,Kerala,India
Bhopal,Madhya Pradesh,India
Imphal,Manipur,India
Shillong,Meghalaya,India
Aizawl,Mizoram,India
Kohima,Nagaland,India
Bhubaneswar,Odisha,India
Chandigarh,Punjab,India
Jaipur,Rajasthan,India
Gangtok,Sikkim,India
Chennai,Tamil Nadu,India
Hyderabad,Telangana,India
Agartala,Tripura,India
Lucknow,Uttar Pradesh,India
Dehradun,Uttarakhand,India
Kolkata,West Bengal,India
Islamabad,Islamabad,Pakistan
Bhaseen,Lahore,Pakistan
Karachi West,Karachi,Pakistan
Xining,Qinghai,China
Chengdu,Sichuan,China
Lanzhou,Gansu,China
Harbin,Heilongjiang,China
Changsha,Hunan,China
Wuhan,Hubei,China
Shenyang,Liaoning,China
Nara,Nara,Japan
Oita City,Oita,Japan
Naha,Okinawa,Japan
Osaka,Osaka,Japan
Saga,Saga,Japan
Saitama,Saitama,Japan
Sapporo,Hokkaido,Japan
Otsu,Shiga,Japan
Shizuoka,Shizuoka,Japan
Shinjuku,Tokyo,Japan
Recife,Pernambuco,Brasil
Paulista,Pernambuco,Brasil
São Paulo,São Paulo,Brasil
Campinas,São Paulo,Brasil
Paris,Île de France,France
